60
2,2,2,5
2,2,2,5
2,2,2,5
2,2,2,5
2,2,2,5
2,2,2,5
2,2,2,5
2,2,2,5
2,2,2,5
2,2,2,5
10,4,8,11
6,5,8,5
4,3,2,5
2,4,5,5
6,6,2,5
6,2,8,5
8,3,5,5
10,5,5,5
6,5,8,5
8,3,2,5
6,10,2,11
8,2,5,5
2,11,8,5
2,7,5,5
14,4,5,5
16,8,5,11
6,11,8,5
4,2,5,5
18,4,2,5
14,10,2,5
6,15,2,11
30,10,5,11
12,11,11,5
2,14,11,11
10,13,8,5
8,13,8,11
10,13,5,17
24,5,8,11
28,14,2,23
22,2,8,5
24,4,2,11
28,13,11,5
10,17,11,11
2,11,8,11
38,13,2,17
24,13,11,5
16,3,14,11
38,20,11,11
6,14,2,11
18,5,2,5
12,3,14,11
30,26,11,5
46,23,8,5
22,18,8,5
4,6,8,17
8,22,8,29
4,20,14,5
6,4,11,5
20,23,8,11
44,3,2,5
